Devices,,,,,,,,,,,,,
1000,,,,,,,,,,,,,
,,Fx1 - Voltage,Fy1 - Voltage,Fz1 - Voltage,Fx2 - Voltage,Fy2 - Voltage,Fz2 - Voltage,Fx3 - Voltage,Fy3 - Voltage,Fz3 - Voltage,Fx4 - Voltage,Fy4 - Voltage,Fz4 - Voltage
Frame,Sub Frame,Fx1,Fy1,Fz1,Fx2,Fy2,Fz2,Fx3,Fy3,Fz3,Fx4,Fy4,Fz4
,,V,V,V,V,V,V,V,V,V,V,V,V
1941,0,0.916167,-2.96779,3.10542,-0.65873,-2.0717,1.82371,-0.654291,-2.81531,2.4623,0.415851,-4.0401,2.40523
1941,1,0.963164,-2.85671,3.06697,-0.641335,-2.16325,1.84324,-0.659479,-2.70331,2.40584,0.457354,-4.09412,2.38601
1941,2,1.02725,-2.77614,3.03554,-0.695962,-2.19835,1.85056,-0.715936,-2.68805,2.36769,0.509845,-4.03553,2.38875
1941,3,1.05929,-2.73494,2.98488,-0.772866,-2.15013,1.82096,-0.788263,-2.77014,2.35152,0.515033,-3.81671,2.3445
1941,4,1.06753,-2.65987,2.9446,-0.835427,-2.09856,1.8231,-0.850214,-2.8675,2.3384,0.538226,-3.62812,2.34908
1941,5,1.10751,-2.58724,2.92659,-0.830544,-2.05095,1.80112,-0.797113,-2.85224,2.33351,0.566302,-3.4679,2.31521
1941,6,1.14352,-2.46395,2.87257,-0.724038,-2.06712,1.82249,-0.667413,-2.73169,2.25936,0.610247,-3.45172,2.32375
1941,7,1.13894,-2.42855,2.85304,-0.619058,-2.05553,1.83042,-0.521539,-2.62091,2.19832,0.61513,-3.48651,2.32986
1941,8,1.02908,-2.50301,2.82222,-0.504617,-2.01982,1.84629,-0.41076,-2.58826,2.17055,0.497638,-3.43616,2.28744
1941,9,0.893584,-2.56618,2.80849,-0.453042,-1.98015,1.8588,-0.388483,-2.65357,2.15865,0.348101,-3.39588,2.32253
1942,0,0.754423,-2.66964,2.81123,-0.398416,-1.90202,1.81333,-0.361322,-2.78723,2.15834,0.191241,-3.31287,2.33352
1942,1,0.685149,-2.61928,2.78224,-0.305337,-1.93803,1.80265,-0.324091,-2.91938,2.24257,0.090228,-3.28113,2.38204
1942,2,0.681181,-2.51339,2.75935,-0.227822,-2.02135,1.78068,-0.249933,-3.02924,2.20076,0.064288,-3.2378,2.41927
1942,3,0.665312,-2.39498,2.72762,-0.150002,-2.08727,1.73429,-0.15899,-3.1388,2.20992,0.0673398,-3.18012,2.41256
1942,4,0.697356,-2.23262,2.67146,-0.0837793,-2.14586,1.72269,-0.0933777,-3.198,2.22396,0.0890073,-3.15448,2.41775
1942,5,0.689116,-2.24453,2.67024,-0.0404443,-2.12328,1.70805,-0.0167786,-3.20533,2.23738,0.127154,-3.19507,2.43423
1942,6,0.687285,-2.29305,2.67238,0.0132666,-2.07109,1.70347,0.0387634,-3.22211,2.19863,0.126544,-3.2674,2.46352
1942,7,0.667754,-2.34157,2.65132,0.0645361,-2.02226,1.70927,0.0961365,-3.33136,2.31703,0.130816,-3.29914,2.48
1942,8,0.674467,-2.33669,2.65437,0.104209,-2.03264,1.69309,0.106818,-3.50775,2.38478,0.11159,-3.30951,2.51876
1942,9,0.643645,-2.28481,2.63179,0.137168,-2.07353,1.67051,0.109564,-3.72657,2.42324,0.0792416,-3.18897,2.52242
1943,0,0.600005,-2.24086,2.60249,0.146323,-2.11076,1.63663,0.0882019,-3.93622,2.4742,0.0352963,-3.1258,2.56789
1943,1,0.53958,-2.26192,2.57655,0.155173,-2.06499,1.58384,0.0836243,-3.99756,2.45528,-0.041608,-3.14044,2.61489
1943,2,0.413847,-2.34493,2.52559,0.190269,-1.97069,1.57133,0.143744,-3.95789,2.44185,-0.110578,-3.26313,2.68416
1943,3,0.352507,-2.43618,2.49934,0.222922,-1.85198,1.55363,0.167548,-3.85413,2.42659,-0.189008,-3.37574,2.70217
1943,4,0.268279,-2.46852,2.44289,0.230857,-1.77293,1.55271,0.195929,-3.79615,2.41286,-0.220441,-3.44806,2.71407
1943,5,0.246916,-2.45204,2.42702,0.22811,-1.74547,1.53074,0.168768,-3.83734,2.43056,-0.265607,-3.40473,2.7037
1943,6,0.203886,-2.37606,2.39894,0.234824,-1.7589,1.51579,0.179449,-3.89075,2.43941,-0.284528,-3.31684,2.68233
1943,7,0.199919,-2.29305,2.37239,0.249778,-1.77751,1.48038,0.199591,-3.90937,2.46169,-0.299787,-3.28205,2.66616
1943,8,0.212126,-2.2546,2.35408,0.276023,-1.75493,1.44407,0.264288,-3.77753,2.42812,-0.281781,-3.31226,2.63595
